,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,libraries
224,"Bick, Ilsa J.",The Sin-Eater's Confession,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
227,"Bildner, Phil",Playing the Field,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
229,"Bird, Jackson","Sorted: Growing Up, Coming Out, and Finding My Place",Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
232,"Bjorkman, Lauren",My Invented Life,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
235,"Blackall, Sophie",The Baby Tree,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,True
244,"Blakemore, Kim Taylor",Bowery Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
245,"Blount, Patty",Someone I Used to Know,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
247,"Blume, Judy",Forever...,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
255,"Bongiovanni, Archie",A Quick & Easy Guide to They/Them Pronouns,Banned in Libraries and Classrooms,"Jimerson, Tristan",,,Tennessee,Collierville Schools,February 2022,Administrator,True
258,"Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
265,"Braden, Ann",The Benefits of Being an Octopus,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
268,"Braun, Eric",Protest Movements: Then and Now,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,True
271,"Bridges, Ruby",This Is Your Time,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
274,"Brooks, Kevin",Black Rabbit Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
277,"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
281,"Brown, Jaye Robin",The Meaning of Birds,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
304,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
305,"Brynie, Faith Hickman","101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
326,"Cabot, Meg",Ready or Not (All-American Girl Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
330,"Callender, Kacen",Hurricane Child,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
331,"Callender, Kacen",King and the Dragonflies,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
341,"Carpenter, Amy R.","Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
345,"Cashore, Kristin",Graceling (Graceling Realm Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
349,"Cassedy, Patrice",Teen Pregnancy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
350,"Cast, P. C.",Awakened (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
351,"Cast, P. C.",Betrayed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
352,"Cast, P. C.",Burned (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
353,"Cast, P. C.",Chosen (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
354,"Cast, P. C.",Destined (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
355,"Cast, P. C.",Hidden (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
356,"Cast, P. C.",Hunted (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
357,"Cast, P. C.",Marked (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
358,"Cast, P. C.",Redeemed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
359,"Cast, P. C.",Revealed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
360,"Cast, P. C.",Tempted (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
361,"Cast, P. C.",Untamed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,True
363,"Celano, Marianne",Something Happened in Our Town,Banned in Libraries,"Moses, Donald",,,Missouri,Fox C-6 School District,May 2022,Formal Challenge,True
372,"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
378,"Cheng, Andrea","Etched in Clay: The Life of Dave, Enslaved Potter and Poet",Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
389,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
393,"Clare, Cassandra",Clockwork Princess (The Infernal Devices Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
412,"Cohen, Adam","Imbeciles: The Supreme Court, American Eugenics, and the Sterilization of Carrie Buck",Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
416,"Cohn, Rachel",Gingerbread (Cyd Charisse Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
418,"Cokal, Susann",The Kingdom of Little Wounds,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
419,"Colbert, Brandy",Little & Lion,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
425,"Collins, B. R.",The Traitor Game,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
428,"Connor, Leslie",A Home for Goddesses and Dogs,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
432,"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Banned in Libraries and Classrooms,,"Cornell, Alexis",,Texas,Prosper Independent School District,March 2022,Administrator,True
448,"Cotugno, Katie",How to Love,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
458,"Craft, Jerry",Class Act,Banned in Libraries,,,,Texas,Katy Independent School District,September 2021,Administrator,True
462,"Craft, Jerry",New Kid,Banned in Libraries,,,,Texas,Katy Independent School District,September 2021,Administrator,True
464,"Craig, Joe",A Guy's Guide to Sexuality and Sexual Identity in the 21st Century,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
467,"Cronn-Mills, Kirstin",Beautiful Music for Ugly Children,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
470,"Crutcher, Chris",Staying Fat for Sarah Byrnes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
472,"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Florida,Palm Beach County School District,April 2022,Administrator,True
487,"Danforth, Emily M.",The Miseducation of Cameron Post,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
488,"Daniels, April",Dreadnought (Nemesis Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
489,"Davis, Tanita S.",Happy families,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
492,"Dawson, Juno",This Book Is Gay,Banned in Libraries and Classrooms,,,,Idaho,West Ada School District,February 2022,Formal Challenge,True
506,"de la Peña, Matt",Mexican Whiteboy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
530,"Dietrich, Cale",The Love Interest,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
562,"Douglass, Frederick",Narrative of the Life of Frederick Douglass,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator,True
564,"Draper, Sharon M.",Blended,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
570,"Draper, Sharon M.",Panic,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,True
572,"Draper, Sharon M.",Romiette and Julio,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator,True
582,"Dunbar, Helene",We Are Lost and Found,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
586,"Duncan, Lois",Killing Mr. Griffin,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,True
598,"Eggers, Dave",The Circle (The Circle Series),Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administrator,True
599,"Eli, Adam",The New Queer Conscience,Banned in Libraries and Classrooms,,"Lukashevsky, Ashley",,Tennessee,Collierville Schools,February 2022,Administrator,True
600,"Elkeles, Simone",Perfect Chemistry (Perfect Chemistry Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
621,"Evaristo, Bernardine","Girl, Woman, Other",Banned in Libraries and Classrooms,,,"Aguilar, Julia Osuna",South Dakota,Rapid City Area Schools,April 2022,Administrator,True
622,"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Florida,Orange County Public Schools,October 2021,Formal Challenge,True
648,"Farrell, Courtney",The Abortion Debate (Essential Viewpoints),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
649,"Farrey, Brian",With Or Without You,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
669,"Faux, Marian",Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
673,"Fierstein, Harvey",The Sissy Duckling,Banned in Libraries and Classrooms,,"Cole, Henry",,Florida,Broward County Public Schools,June 2022,Administrator,True
675,"Finneyfrock, Karen",The Sweet Revenge of Celia Door,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
676,"Firmston, Kim",Hook Up,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
680,"Fleischman, Paul",Seedfolks,Banned in Libraries,,"Pedersen, Judy",,Texas,Birdville Independent School District,October 2021,Formal Challenge,True
688,"Flynn, Gillian",Gone Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
689,"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
696,"Foley, Jessie Ann",The Carnival at Bray,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
697,"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Banned in Libraries,"Frank, Anne","Polonsky, David",,Texas,Katy Independent School District,January 2022,Administrator,True
698,"Ford, Michael Thomas",Suicide Notes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
701,"Frank, E. R.",Dime,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
702,"Frank, ER",Life is Funny,Banned in Libraries and Classrooms,,,,North Carolina,Moore County Schools,April 2022,Administrator,True
705,"Franklin, Emily",Tessa Masterson Will Go to Prom,Banned in Libraries,"Halpin, Brendan",,,Texas,North East Independent School District,December 2021,Administrator,True
706,"Franklin, Tee",Bingo Love #1,Banned in Libraries and Classrooms,,"St. Onge, Jenn; San, Joy; FT, Genevieve",,Tennessee,Collierville Schools,February 2022,Administrator,True
708,"Frederick, Joseph",The Black Friend: On Being a Better White Person,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
716,"G., Mady",A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,"Zuckerberg, J. R.",,,Florida,Indian River County School District,November 2021,Administrator,True
726,"Garber, Stephanie",Caraval (Caraval Series),Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator,True
727,"García, Cristina",Dreaming in Cuban,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator,True
731,"Garden, Nancy",Annie on My Mind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
733,"Garden, Nancy",The Year They Burned the Books,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
735,"Garrett, Camryn",Full Disclosure,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administrator,True
742,"Gay, Roxane",Hunger: A Memoir of (My) Body,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
744,"Geerling, Marjetta",Fancy White Trash,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
746,"Gennari, Jennifer",My Mixed-Up Berry Blue Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
747,"George, Elizabeth",The Edge of the Water (Whidbey Island Saga Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
749,"George, Madeleine",The Difference Between You and Me,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
754,"Giles, Gail",Girls Like Us (2015),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,December 2021,Formal Challenge,True
756,"Gino, Alex",Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator,True
767,"Gino, Alex",Rick,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator,True
771,"Girard, M-E",Girl Mans Up,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge,True
776,"Glines, Abbi",Bad for You (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
777,"Glines, Abbi",Losing the Field (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
780,"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,True
782,"Glines, Abbi",The Vincent Brothers (The Vincent Boys Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
784,"Glines, Abbi",Until Friday Night (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
785,"Glines, Abbi",Until the End (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
788,"Golding, William",Lord of the Flies,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
793,"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Banned in Libraries and Classrooms,"Rayne, Karen",,,Tennessee,Collierville Schools,February 2022,Administrator,True
800,"Goode, Laura",Sister Mischief,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
803,"Gottfred, B. T.",Forever for a Year,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator,True
806,"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator,True
807,"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,True
812,"Gould, Sasha",Cross My Heart (Cross My Heart Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
814,"Gowen, L. Kris",Image and Identity: Becoming the Person You Are,Banned in Libraries,"McKenna, Molly",,,Texas,North East Independent School District,December 2021,Administrator,True
818,"Green, John",Let it Snow: Three Holiday Romances,Banned in Libraries,"Johnson, Maureen; Myracle, Lauren",,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
819,"Green, John",Looking for Alaska,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator,True
834,"Green, Katie",Lighter than My Shadow,Banned in Libraries and Classrooms,,,,Pennsylvania,Eastern Lancaster County School District,October 2021,Administrator,True
852,"Gyasi, Yaa",Homegoing,Banned in Libraries,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,True
856,"Han, Jenny",To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Administrator,True
857,"Haney, Johannah",The Abortion Debate: Understanding the Issues (Issues in Focus Today),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
858,"Hansberry, Lorraine",A Raisin in the Sun,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator,True
861,"Harmon, Michael",The Last Exit to Normal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
865,"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,,"Emberley, Michael",,Florida,Polk County Public Schools,January 2022,Administrator,True
877,"Hartzler, Aaron",Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
878,"Hartzler, Aaron",What We Saw,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
881,"Haskins, James",The Scottsboro Boys,Banned in Libraries and Classrooms,,,,Iowa,Keokuk Community School District,April 2022,Formal Challenge,True
901,"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
904,"Hillstrom, Laurie Collier",Black Lives Matter: From a Moment to a Movement,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
906,"Hinton, S. E.",The Outsiders,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
910,"Hoblin, Paul",Archenemy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
911,"Hoffman, Eric",Best Best Colors: Los mejores colores,Banned in Libraries,,"Henriquez, Celeste",,Texas,North East Independent School District,December 2021,Administrator,True
916,"Holmes, Melisa","Hang-ups, Hook-ups, and Holding Out: Stuff You Need to Know about Your Body, Sex, and Dating",Banned in Libraries,"Hutchison, Trish",,,Texas,North East Independent School District,December 2021,Administrator,True
923,"Hopkins, Ellen",Burned (Burned Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
925,"Hopkins, Ellen",Crank (Crank Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
937,"Hopkins, Ellen",Fallout (Crank Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
938,"Hopkins, Ellen",Glass (Crank Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
940,"Hopkins, Ellen",Identical,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
942,"Hopkins, Ellen",Impulse (Impulse Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
944,"Hopkins, Ellen",People Kill People,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
946,"Hopkins, Ellen",Perfect (Impulse Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
947,"Hopkins, Ellen",Smoke (Burned Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
950,"Hopkins, Ellen",Tilt,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
951,"Hopkins, Ellen",Traffick (Tricks Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
954,"Hopkins, Ellen",Triangles,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
959,"Hopkins, Ellen",Tricks (Tricks Series),Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,True
972,"Hosseini, Khaled",The Kite Runner,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
988,"Howe, James",Totally Joe (The Misfits Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
992,"Huegel, Kelly",GLBTQ*: The Survival Guide for Queer & Questioning Teens,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
995,"Hurston, Zora Neale",Their Eyes Were Watching God,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator,True
996,"Hurwin, Davida Wills",Freaks and Revelations,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
999,"Hutchinson, Shaun David",Brave Face: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1003,"Hutchinson, Shaun David",The Five Stages of Andrew Brawley,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1009,"Hutchinson, Shaun David",We Are the Ants,Banned in Libraries,,,,Texas,Granbury Independent School District,January 2022,Administrator,True
1012,"Huxley, Aldous",Brave New World,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1016,"Hyde, Margaret O.",Safe Sex 101: An Overview for Teens,Banned in Libraries,"Forsyth, Elizabeth H.",,,Texas,North East Independent School District,December 2021,Administrator,True
1022,"Jackson, Holly","Good Girl, Bad Blood (A Good Girl's Guide to Murder Series)",Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
1024,"Jackson, Tiffany D.",Let Me Hear a Rhyme,Banned in Libraries,"Sharif, Malik ""Malik-16""",,,Mississippi,Madison County Schools,April 2022,Administrator,True
1027,"Jackson, Tiffany D.",Monday's Not Coming,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
1034,"Jacobson, Jennifer Richard",Stained,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1043,"Jennings, Jazz",Being Jazz: My Life as a (Transgender) Teen,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,True
1049,"Jennings, Jazz",I am Jazz,Banned in Libraries and Classrooms,"Herthel, Jessica","McNicholas, Shelagh",,Florida,Palm Beach County School District,April 2022,Administrator,True
1055,"Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",Banned in Libraries,,"Durand, Aurelia",,Florida,Indian River County School District,November 2021,Administrator,True
